Date,Ball_1,Ball_2,Ball_3,Ball_4,Ball_5,Ball_6,Bonus_Ball
14/07/2012,2,11,12,18,24,26,5
17/07/2012,9,15,25,26,28,32,3
21/07/2012,4,8,21,22,24,29,1
24/07/2012,1,11,21,25,26,31,4
27/07/2012,3,15,26,27,36,37,5
31/07/2012,1,5,11,18,26,30,3
02/08/2012,3,8,30,34,35,36,7
04/08/2012,4,12,19,23,27,31,1
07/08/2012,1,15,21,23,26,36,3
11/08/2012,9,16,21,24,26,33,7
14/08/2012,5,8,25,29,30,31,4
18/08/2012,4,12,16,21,26,30,6
21/08/2012,6,7,17,18,25,35,4
25/08/2012,7,11,26,27,28,34,6
28/08/2012,2,6,19,29,36,37,7
01/09/2012,2,3,18,20,26,35,2
04/09/2012,3,7,15,29,31,34,7
06/09/2012,9,13,21,22,24,31,1
08/09/2012,8,23,26,31,34,35,5
11/09/2012,3,5,10,11,12,21,3
15/09/2012,2,6,12,16,21,26,5
20/09/2012,11,19,22,23,25,36,5
22/09/2012,12,13,16,18,35,37,5
27/09/2012,2,12,20,22,24,32,5
29/09/2012,4,8,27,30,34,36,6
02/10/2012,1,8,20,21,33,37,2
06/10/2012,2,8,16,23,29,36,3
09/10/2012,2,4,7,24,32,36,1
13/10/2012,3,9,14,19,27,31,6
16/10/2012,7,10,11,19,23,25,6
18/10/2012,2,3,6,20,21,30,2
20/10/2012,6,17,22,24,26,31,6
23/10/2012,1,3,7,18,28,34,7
27/10/2012,3,9,15,24,30,35,7
30/10/2012,5,7,14,15,16,35,7
01/11/2012,2,7,10,11,29,32,5
03/11/2012,1,8,10,12,16,26,6
06/11/2012,11,19,21,22,26,30,4
10/11/2012,12,15,24,26,31,33,1
13/11/2012,6,8,14,25,26,31,1
17/11/2012,2,12,13,16,23,25,1
20/11/2012,4,5,21,30,36,37,5
24/11/2012,8,11,25,30,31,33,7
27/11/2012,12,14,19,20,23,25,4
01/12/2012,2,8,12,31,34,35,5
04/12/2012,2,3,6,19,25,27,7
06/12/2012,5,6,9,26,32,35,4
08/12/2012,3,10,11,13,26,37,1
11/12/2012,2,9,15,22,31,33,6
15/12/2012,7,10,17,23,24,31,3
18/12/2012,8,14,18,22,25,31,1
20/12/2012,6,9,24,25,33,34,2
22/12/2012,7,16,28,31,33,35,4
25/12/2012,1,4,5,7,18,23,1
29/12/2012,11,13,18,26,27,36,2
01/01/2013,5,11,12,13,15,20,4
05/01/2013,7,10,12,19,25,36,7
08/01/2013,9,16,17,20,32,33,4
12/01/2013,1,3,11,25,33,34,3
15/01/2013,5,13,14,16,18,21,2
19/01/2013,10,12,26,27,31,36,3
22/01/2013,1,6,14,20,29,36,2
26/01/2013,6,9,13,17,29,34,6
29/01/2013,9,16,18,30,32,33,7
02/02/2013,1,9,11,20,25,27,3
05/02/2013,3,5,10,17,30,32,1
09/02/2013,4,20,21,26,35,37,1
12/02/2013,1,15,17,21,34,37,3
16/02/2013,6,8,14,20,25,29,6
19/02/2013,4,23,25,30,32,35,3
23/02/2013,13,16,24,31,35,36,5
26/02/2013,3,9,13,17,25,37,1
02/03/2013,3,4,26,30,34,37,4
05/03/2013,5,13,19,22,28,33,2
09/03/2013,7,9,13,14,30,33,1
12/03/2013,2,14,27,28,32,34,7
16/03/2013,17,25,29,30,33,37,2
19/03/2013,1,8,9,18,19,20,4
23/03/2013,6,12,13,24,27,29,4
27/03/2013,3,4,7,21,33,37,2
30/03/2013,8,10,12,15,19,30,5
02/04/2013,1,8,12,19,30,35,4
06/04/2013,8,12,13,27,28,34,7
09/04/2013,11,20,21,22,25,36,7
13/04/2013,1,11,15,24,27,34,5
17/04/2013,1,26,28,32,33,35,5
20/04/2013,18,20,25,27,32,36,1
23/04/2013,2,7,12,19,27,37,6
27/04/2013,12,13,28,33,35,37,5
30/04/2013,1,2,3,10,16,29,6
04/05/2013,1,4,6,9,25,35,1
07/05/2013,10,19,20,24,28,33,3
11/05/2013,7,20,26,33,34,35,3
15/05/2013,3,7,15,19,24,33,4
18/05/2013,2,4,24,25,32,34,1
21/05/2013,8,10,14,17,20,34,1
25/05/2013,3,9,21,26,29,37,1
28/05/2013,2,11,16,18,26,36,4
01/06/2013,12,19,21,23,26,35,5
04/06/2013,13,17,21,27,29,31,4
08/06/2013,4,6,17,19,21,36,3
11/06/2013,3,21,25,26,36,37,1
15/06/2013,11,15,21,29,31,36,3
18/06/2013,3,9,10,22,28,33,7
22/06/2013,3,6,7,10,16,30,4
25/06/2013,4,21,22,23,27,35,5
29/06/2013,8,10,17,18,35,37,1
02/07/2013,4,10,15,24,28,29,5
06/07/2013,4,19,27,30,31,35,5
09/07/2013,7,16,19,21,31,36,3
13/07/2013,12,18,19,28,29,34,7
16/07/2013,4,11,12,15,30,33,1
20/07/2013,3,7,8,24,34,36,2
23/07/2013,8,13,23,26,27,29,3
27/07/2013,8,9,11,16,31,34,4
30/07/2013,13,14,26,29,31,35,1
03/08/2013,5,8,9,17,24,32,5
